"State","Crop_Year","Crop","Area","Production","Fertilizer","Pesticide","Yield","Annual_Rainfall","Region"
"Andhra Pradesh",2000,"Rice",4242726,12458014,416508411.4,1103108.76,2.8195454545,935.6,"South"
"Assam",2000,"Rice",2646177,3998443,259775196.1,688006.02,1.53478260866667,1965.5,"North-east"
"Chhattisgarh",2000,"Rice",3769746,2369295,370075964.8,980133.96,0.6575,896.4,"Central"
"Delhi",2000,"Rice",6053,11420,594223.01,1573.78,1.89,544.3,"North"
"Gujarat",2000,"Rice",587400,483300,57665058,152724,2.20125,379.7,"West"
"Haryana",2000,"Rice",1054282,2695000,103498863.9,274113.32,2.443157895,383.7,"North"
"Karnataka",2000,"Rice",1483446,3846736,145629893.79,385695.96,2.39110904666667,1213.3,"South"
"Kerala",2000,"Rice",347455,751328,34109657.35,90338.3,2.07043956033333,2412.6,"South"
"Madhya Pradesh",2000,"Rice",1697346,975274,166628456.8,441309.96,0.613555556,723.3,"Central"
"Maharashtra",2000,"Rice",1511500,1929700,148383955,392990,1.48678125,1057.8,"West"
"Manipur",2000,"Rice",156890,381750,15401891.3,40791.4,2.26,1969.7,"North-east"
"Meghalaya",2000,"Rice",106660,179042,10470812.2,27731.6,1.7128571425,6258.8,"North-east"
"Mizoram",2000,"Rice",51839,103673,5089034.63,13478.14,1.8875,2834.3,"North-east"
"Nagaland",2000,"Rice",151680,233330,14890425.6,39436.8,1.74125,1631.8,"North-east"
"Odisha",2000,"Rice",4433520,4613380,435238658.4,1152715.2,1.14655555566667,1066,"East"
"Puducherry",2000,"Rice",42779,103606,4199614.43,11122.54,2.605,1434.5875,"South"
"Punjab",2000,"Rice",2611000,9154000,256321870,678860,3.501764706,405.3,"North"
"Tamil Nadu",2000,"Rice",2113344,7217903,207466980.5,549469.44,3.611785714,971.1,"South"
"Telangana",2000,"Rice",4242726,12458014,416508411.4,1103108.76,2.8195454545,935.6,"South"
"Tripura",2000,"Rice",243070,547520,23862181.9,63198.2,2.185,2437.5,"North-east"
"Uttar Pradesh",2000,"Rice",5907151,11679149,579905013.71,1535859.26,1.9889822135,874.4,"North"
"West Bengal",2000,"Rice",5435323,12428038,533585658.98,1413183.98,2.18185185166667,1907.7,"East"
"Himachal Pradesh",2000,"Rice",81519,124893,8002720.23,21194.94,1.55,1068.4,"North"
"Jammu and Kashmir",2000,"Rice",244051,415342,23958486.67,63453.26,1.6,989.5,"North"
"Bihar",2000,"Rice",3656844,5444370,358992375.48,950779.44,1.43349317033333,1207,"East"
"Uttarakhand",2000,"Rice",288607,588652,28332549.19,75037.82,2.3871153845,1413.4,"North"
"Jharkhand",2000,"Rice",0,0,0,0,0,0,"East"
"Arunachal Pradesh",2000,"Rice",118601,132690,11643060.17,30836.26,1.066153846,2157.7,"North-east"
"Goa",2000,"Rice",57207,142123,5616011.19,14873.82,2.585,3886.9,"West"
"Sikkim",2000,"Rice",15218,21358,1493951.06,3956.68,1.4225,2504.8,"North-east"
"Andhra Pradesh",2001,"Rice",3824747,11389791,390621411.1,994434.22,2.826590909,928.4,"South"
